ISSN	REVISTA	QUALIS	AREA	OBS
0264-9381	Classical and Quantum Gravity (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0010-3616	Communications in Mathematical Physics	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1528-7483	Crystal Growth & Design	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0929-8673	Current Medicinal Chemistry	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1359-6446	Drug Discovery Today	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1388-2481	Electrochemistry Communications	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1469-221X	EMBO Reports (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0160-4120	Environment International	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1044-3983	Epidemiology (Cambridge, Mass., Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1434-6052	European Physical Journal C. Particles and Fields	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1434-6044	European Physical Journal. C, Particles and Fields (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0295-5075	Europhysics Letters (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0014-3820	Evolution (Lancaster, PA.)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0891-5849	Free Radical Biology & Medicine	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1088-9051	Genome Research	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0886-6236	Global Biogeochemical Cycles	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1342-937X	Gondwana Research	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1463-9262	Green Chemistry (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0019-1035	Icarus (New York, N.Y. 1962)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0020-1669	Inorganic Chemistry	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0305-7453	Journal of Antimicrobial Chemotherapy (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-8898	Journal of Applied Crystallography	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-9517	Journal of Catalysis (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1549-9596	Journal of Chemical Information and Modeling	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1549-9618	Journal of Chemical Theory and Computation	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0192-8651	Journal of Computational Chemistry	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-9991	Journal of Computational Physics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1748-0221	Journal of Instrumentation	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0959-9428	Journal of Materials Chemistry (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-2836	Journal of Molecular Biology	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-3263	Journal of Organic Chemistry	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1520-6106	Journal of Physical Chemistry. B	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1932-7447	Journal of Physical Chemistry. C	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0378-7753	Journal of Power Sources (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1535-3893	Journal of Proteome Research (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0377-0486	Journal of Raman Spectroscopy	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0743-7463	Langmuir	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1612-2011	Laser Physics Letters (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0024-9297	Macromolecules (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0888-8809	Molecular Endocrinology (Baltimore, Md.)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1543-8384	Molecular Pharmaceutics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0035-8711	Monthly Notices of the Royal Astronomical Society (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0883-7694	MRS Bulletin	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1998-0124	Nano Research (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1549-9634	Nanomedicine	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1522-8517	Neuro-Oncology (Charlottesville, Va.)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1367-2630	New Journal of Physics	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0029-5515	Nuclear Fusion	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0550-3213	Nuclear Physics. B (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0305-1048	Nucleic Acids Research	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1094-4087	Optics Express	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0146-9592	Optics Letters	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1566-1199	Organic Electronics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1463-9076	PCCP. Physical Chemistry Chemical Physics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1089-4918	Physical Review D (Particles, Fields, Gravitation and Cosmology)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1050-2947	Physical Review. A	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1094-1622	Physical Review. A, Atomic, Molecular, and Optical Physics (Online)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1098-0121	Physical Review. B, Condensed Matter and Materials Physics	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0556-2813	Physical Review. C. Nuclear Physics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1550-7998	Physical Review. D, Particles, Fields, Gravitation, and Cosmology	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1550-2376	Physical Review. E, Statistical, Nonlinear and Soft Matter Physics (Online)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1539-3755	Physical Review. E, Statistical, Nonlinear, and Soft Matter Physics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0370-2693	Physics Letters. B (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1571-0645	Physics of Life Reviews (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0032-0889	Plant Physiology (Bethesda)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1553-734X	PLoS Computational Biology	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1932-6203	Plos One	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0032-3861	Polymer (Guildford)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0018-9219	Proceedings of the IEEE	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0079-6565	Progress in Nuclear Magnetic Resonance Spectroscopy	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0146-6410	Progress in Particle and Nuclear Physics	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0004-6280	Publications of the Astronomical Society of the Pacific	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0927-0248	Solar Energy Materials and Solar Cells	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0038-6308	Space Science Reviews	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0969-2126	Structure (London)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0004-6256	The Astronomical Journal (New York, N.Y.)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
2041-8205	The Astrophysical Journal. Letters	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-9258	The Journal of Biological Chemistry (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-9606	The Journal of Chemical Physics	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0270-6474	The Journal of Neuroscience	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1089-5639	The Journal of Physical Chemistry. A	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0043-1354	Water Research (Oxford)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0001-5237 	Acta Astronomica	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
