ISSN	REVISTA	QUALIS	AREA	OBS
1053-8119	Neuroimage (Orlando, Fla. Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0952-3480	NMR in Biomedicine	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0375-9474	Nuclear Physics. A (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0031-3203	Pattern Recognition	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1364-503X	Philosophical Transactions - Royal Society. Mathematical, Physical and Engineering Sciences (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0031-8655	Photochemistry and Photobiology	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1569-4410	Photonics and Nanostructures (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1862-6254	Physica Status Solidi. Rapid Research Letters (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0031-9155	Physics in Medicine and Biology (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0375-9601	Physics Letters. A (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1070-6631	Physics of Fluids (1994)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1070-664X	Physics of Plasmas	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0031-9422	Phytochemistry	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0032-0633	Planetary and Space Science	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0741-3335	Plasma Physics and Controlled Fusion (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0963-0252	Plasma Sources Science & Technology (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0033-068X	Progress of Theoretical Physics	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0887-3585	Proteins (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0004-6264	Publications of the Astronomical Society of Japan	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0033-8222	Radiocarbon	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0185-1101	Revista Mexicana de Astronomía y Astrofísica	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1359-6462	Scripta Materialia	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0925-4005	Sensors and Actuators. B, Chemical	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0038-0938	Solar Physics	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0038-1098	Solid State Communications	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0167-2738	Solid State Ionics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0584-8547	Spectrochimica Acta. Part B, Atomic Spectroscopy	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0953-2048	Superconductor Science and Technology (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0257-8972	Surface & Coatings Technology	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0039-6028	Surface Science	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0169-3298	Surveys in Geophysics	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0039-9140	Talanta (Oxford)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0040-4020	Tetrahedron (Oxford. Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0040-4039	Tetrahedron Letters	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1292-8941	The European Physical Journal. E, Soft Matter (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1432-881X	Theoretical Chemistry Accounts (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0304-3991	Ultramicroscopy (Amsterdam)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0108-7681	Acta Crystallographica. Section B, Structural Science	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0001-706X	Acta Tropica	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0278-6826	Aerosol Science and Technology (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0168-1923	Agricultural and Forest Meteorology (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0895-7061	American Journal of Hypertension	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0002-9505	American Journal of Physics	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0363-6143	American Journal of Physiology. Cell Physiology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0992-7689	Annales Geophysicae (Berlin)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0090-6964	Annals of Biomedical Engineering	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0169-1317	Applied Clay Science (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1559-128X	Applied Optics	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0947-8396	Applied Physics. A, Materials Science & Processing (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0003-7028	Applied Spectroscopy	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0169-4332	Applied Surface Science	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0169-8095	Atmospheric Research (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1387-3547	Biological Invasions	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0960-894X	Bioorganic & Medicinal Chemistry Letters (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1471-2202	BMC Neuroscience (Online)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1752-0509	BMC Systems Biology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0006-8993	Brain Research	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1011-372X	Catalysis Letters	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0920-5861	Catalysis Today (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0969-0239	Cellulose (London)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0009-2509	Chemical Engineering Science	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1612-1872	Chemistry & Biodiversity (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0009-3084	Chemistry and Physics of Lipids (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0165-0009	Climatic Change	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0009-8981	Clinica Chimica Acta (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1386-0291	Clinical Hemorheology and Microcirculation	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0927-7757	Colloids and Surfaces. A, Physicochemical and Engineering Aspects (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0266-3538	Composites Science and Technology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0360-1315	Computers and Education	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1567-1739	Current Applied Physics	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1058-8388	Developmental Dynamics	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1932-8451	Developmental Neurobiology (Hoboken, N.J.)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0925-9635	Diamond and Related Materials	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0197-9337	Earth Surface Processes and Landforms (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1099-0062	Electrochemical and Solid-State Letters	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0301-4215	Energy Policy	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0098-8472	Environmental and Experimental Botany	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0013-9351	Environmental Research (New York, N.Y. Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0953-816X	European Journal of Neuroscience (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1434-6036	European Physical Journal. B, Condensed Matter and Complex Systems (Internet)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0014-5793	FEBS Letters (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0928-8244	FEMS Immunology and Medical Microbiology (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0378-1097	FEMS Microbiology Letters	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0956-7135	Food Control	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0963-9969	Food Research International	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0379-0738	Forensic Science International	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1872-4973	Forensic Science International. Genetics (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0046-5070	Freshwater Biology (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0378-3820	Fuel Processing Technology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1479-6694	Future Oncology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1759-6653	Genome Biology and Evolution	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0016-7061	Geoderma (Amsterdam)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0169-555X	Geomorphology (Amsterdam)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1041-1135	IEEE Photonics Technology Letters	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1530-437X	IEEE Sensors Journal	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1536-125X	IEEE Transactions on Nanotechnology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0018-9499	IEEE Transactions on Nuclear Science	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0020-0255	Information Sciences	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1387-7003	Inorganic Chemistry Communications	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0020-1693	Inorganica Chimica Acta (Testo stampato)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0020-7519	International Journal for Parasitology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0141-8130	International Journal of Biological Macromolecules	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0020-7608	International Journal of Quantum Chemistry	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0926-9959	JEADV. Journal of the European Academy of Dermatology and Venereology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-3640	JETP Letters	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-8782	Journal of Anatomy (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1364-6826	Journal of Atmospheric and Solar-Terrestrial Physics	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0920-5063	Journal of Biomaterials Science. Polymer ed. (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-9290	Journal of Biomechanics	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1550-7033	Journal of Biomedical Nanotechnology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0739-1102	Journal of Biomolecular Structure & Dynamics	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-0248	Journal of Crystal Growth	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0300-5712	Journal of Dentistry	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0099-2399	Journal of Endodontics	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1053-0509	Journal of Fluorescence	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-2313	Journal of Luminescence	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-2461	Journal of Materials Science	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0303-6812	Journal of Mathematical Biology (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1093-3263	Journal of Molecular Graphics & Modelling	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-2852	Journal of Molecular Spectroscopy (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-2860	Journal of Molecular Structure (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0163-3864	Journal of Natural Products (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0165-0270	Journal of Neuroscience Methods	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-3093	Journal of Non-Crystalline Solids	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-3115	Journal of Nuclear Materials	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1464-4258	Journal of Optics. A, Pure and Applied Optics (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1464-4266	Journal of Optics. B, Quantum and Semiclassical Optics (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-328X	Journal of Organometallic Chemistry (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-3492	Journal of Periodontology (1970)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1011-1344	Journal of Photochemistry and Photobiology. B, Biology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-3646	Journal of Phycology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0047-2689	Journal of Physical and Chemical Reference Data	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-4715	Journal of Statistical Physics	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0960-0760	Journal of Steroid Biochemistry and Molecular Biology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0955-2219	Journal of the European Ceramic Society	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1084-7529	Journal of the Optical Society of America. A, Optics, Image Science, and Vision	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-5193	Journal of Theoretical Biology	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1388-6150	Journal of Thermal Analysis and Calorimetry	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1071-1023	Journal of Vacuum Science & Technology. B, Microelectronics and Nanometer Structures Processing, Measurement and Phenomena	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0393-697X	La Rivista del Nuovo Cimento della Società Italiana di Fisica (Testo stampato)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0377-9017	Letters in Mathematical Physics	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0024-3205	Life Sciences (1973)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0024-4201	Lipids	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0267-8292	Liquid Crystals (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1478-3223	Liver International (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1438-7492	Macromolecular Materials and Engineering (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0167-577X	Materials Letters (General ed.)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0921-5093	Materials Science & Engineering. A, Structural Materials: Properties, Microstructure and Processing	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0928-4931	Materials Science & Engineering. C, Biomimetic Materials, Sensors and Systems (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1350-4533	Medical Engineering & Physics	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0167-9317	Microelectronic Engineering	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0968-4328	Micron (Oxford. 1993)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1059-910X	Microscopy Research and Technique (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0166-6851	Molecular and Biochemical Parasitology (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1381-1991	Molecular Diversity	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0026-8976	Molecular Physics (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1090-0535	Molecular Vision	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0027-0644	Monthly Weather Review	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0028-1042	Naturwissenschaften	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0899-7667	Neural Computation	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0893-6080	Neural Networks	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1384-1076	New Astronomy (Gedrukt)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1387-6473	New Astronomy Reviews (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1468-1218	Nonlinear Analysis: Real World Applications	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0951-7715	Nonlinearity (Bristol. Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0168-9002	Nuclear Instruments & Methods in Physics Research. Section A, Accelerators, Spectrometers, Detectors and Associated Equipment (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0168-583X	Nuclear Instruments & Methods in Physics Research. Section B, Beam Interactions with Materials and Atoms (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0030-1299	Oikos (Kobenhavn)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0925-3467	Optical Materials (Amsterdam. Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0030-4018	Optics Communications (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1368-8375	Oral Oncology (1997)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1526-498X	Pest Management Science (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1572-1000	Photodiagnosis and Photodynamic Therapy (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0378-4371	Physica. A (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0167-2789	Physica. D, Nonlinear Phenomena (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1478-3967	Physical Biology (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1098-4402	Physical Review Special Topics. Accelerators and Beams	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0342-1791	Physics and Chemistry of Minerals	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0981-9428	Plant Physiology and Biochemistry (Paris)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0032-0943	Planta Medica	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1084-0184	Plasmas and Polymers	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0277-5387	Polyhedron	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0142-9418	Polymer Testing	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1042-7147	Polymers for Advanced Technologies (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0032-5910	Powder Technology (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1364-5021	Proceedings - Royal Society. Mathematical, Physical and Engineering Sciences (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1611-020X	QSAR & Combinatorial Science (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1533-7146	Quantum Information & Computation	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1570-0755	Quantum Information Processing (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0033-5894	Quaternary Research (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1947-2935	Science of Advanced Materials (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0036-8733	Scientific American	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0037-0746	Sedimentology (Amsterdam. Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1424-8220	Sensors (Basel)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0924-4247	Sensors and Actuators. A, Physical	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0167-1987	Soil & Tillage Research	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0926-2040	Solid State Nuclear Magnetic Resonance	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1293-2558	Solid State Sciences	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1542-7390	Space Weather (Online)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1386-1425	Spectrochimica Acta. Part A, Molecular and Biomolecular Spectroscopy (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1040-0400	Structural Chemistry	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0379-6779	Synthetic Metals	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0002-9637	The American Journal of Tropical Medicine and Hygiene	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1434-6028	The European Physical Journal. B, Condensed Matter Physics (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1434-6060	The European Physical Journal. D, Atomic, Molecular and Optical Physics (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1742-464X	The FEBS Journal (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0001-4966	The Journal of the Acoustical Society of America	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0040-6090	Thin Solid Films	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0041-0101	Toxicon (Oxford)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0041-1132	Transfusion (Arlington, Va.)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0264-410X	Vaccine (Guildford)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0924-2031	Vibrational Spectroscopy (Print)	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0945-6317	Virchows Archiv	B2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0065-3276	Advances in Quantum Chemistry	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0001-1541	AIChE Journal	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0001-3765	Anais da Academia Brasileira de Ciências (Impresso)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0003-3804	Annalen der Physik (Leipzig)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0090-4341	Archives of Environmental Contamination and Toxicology (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0302-8933	Archives of Microbiology	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1323-3580	Astronomical Society of Australia. Publications (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0004-6337	Astronomische Nachrichten (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1063-7737	Astronomy Letters (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0004-640X	Astrophysics and Space Science	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1615-7591	Bioprocess and Biosystems Engineering (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0006-8314	Boundary - Layer Meteorology	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1084-9785	Cancer Biotherapy & Radiopharmaceuticals	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0341-8162	Catena (Cremlingen)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0272-8842	Ceramics International	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0960-0779	Chaos, Solitons and Fractals	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1096-4959	Comparative Biochemistry and Physiology. Part B: Biochemistry & Molecular Biology (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1359-8368	Composites. Part B, Engineering	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0927-0256	Computational Materials Science	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0863-1042	Contributions to Plasma Physics (1985)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0304-3800	Ecological Modelling	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0143-0807	European Journal of Physics (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0894-1777	Experimental Thermal and Fluid Science	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0957-4174	Expert Systems with Applications	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1788-618X	Express Polymer Letters	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0015-8208	Fortschritte der Physik (Berlin. Wiley-VCH)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0018-019X	Helvetica Chimica Acta	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1545-598X	IEEE Geoscience and Remote Sensing Letters (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1051-8223	IEEE Transactions on Applied Superconductivity (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0018-9456	IEEE Transactions on Instrumentation and Measurement	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0093-3813	IEEE Transactions on Plasma Science	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0885-3010	IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1751-8849	IET Systems Biology (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0888-5885	Industrial & Engineering Chemistry Research	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1546-542X	International Journal of Applied Ceramic Technology	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0142-1123	International Journal of Fatigue	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0217-751X	International Journal of Modern Physics A	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0218-2718	International Journal of Modern Physics D	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1107-3756	International Journal of Molecular Medicine	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-4922	Japanese Journal of Applied Physics	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1461-5185	Journal of Adhesive Dentistry	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-8995	Journal of Applied Polymer Science (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0021-9568	Journal of Chemical and Engineering Data	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0886-9383	Journal of Chemometrics (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0095-8972	Journal of Coordination Chemistry (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0368-2048	Journal of Electron Spectroscopy and Related Phenomena (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0361-5235	Journal of Electronic Materials	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0265-931X	Journal of Environmental Radioactivity	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
1063-7761	Journal of Experimental and Theoretical Physics (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-2291	Journal of Low Temperature Physics	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0304-8853	Journal of Magnetism and Magnetic Materials	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0924-0136	Journal of Materials Processing Technology	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0884-2914	Journal of Materials Research	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0259-9791	Journal of Mathematical Chemistry	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0950-0340	Journal of Modern Optics (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0167-7322	Journal of Molecular Liquids (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
0166-1280	Journal of Molecular Structure. Theochem (Print)	B3	ASTRONOMIA / FÍSICA	Atualizada em 2012
